OlinkID,epvs_basalganglia_6_nobs,epvs_basalganglia_6_beta,epvs_basalganglia_6_se,epvs_basalganglia_6_pvalue,epvs_basalganglia_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20321,926,0.037427778419231464,0.032194284955980174,0.24531499581207347,0.565754140510538,51.318399931153735,O00584,RNASET2,Cardiometabolic,Unique Protein
OID20322,926,0.04851394876523465,0.03153241677829594,0.12426606877324388,0.4164306309025509,73.28720036814693,P10451,SPP1,Cardiometabolic,Unique Protein
OID20323,926,0.006371323500812518,0.030955121114300627,0.8369743142016551,0.9466855828544396,52.5384077655066,Q8NHL6,LILRB1,Cardiometabolic,Unique Protein
OID20324,926,-0.0035620169238083396,0.0312296979164543,0.9092166334382128,0.9756956569297164,64.60977601650548,O75023,LILRB5,Cardiometabolic,Unique Protein
OID20325,926,0.045119038307187956,0.037048585648462744,0.22360471766461157,0.5391998179651057,65.43565410074802,P18065,IGFBP2,Cardiometabolic,Unique Protein
OID20326,926,-0.022635376002280834,0.03503588271433885,0.5184027350239064,0.7933461751177375,50.54148190990807,P19957,PI3,Cardiometabolic,Unique Protein
OID20327,926,-0.030463114665641017,0.031225220022278906,0.3295270441809639,0.6516965833159388,51.155031691293814,Q9HD89,RETN,Cardiometabolic,Unique Protein
OID20328,926,2.0994335822383518e-4,0.03186916635960153,0.9947452960868581,0.9978176048256302,64.539383231183,Q16663,CCL15,Cardiometabolic,Unique Protein
OID20329,926,0.00970075828716584,0.02912528139607469,0.7391586523172569,0.9038484030691333,47.955131565434385,P24158,PRTN3,Cardiometabolic,Unique Protein
OID20330,926,-0.043134937947362444,0.03060539233099043,0.15906374381517754,0.464150953409644,26.051730305781252,Q12884,FAP,Cardiometabolic,Unique Protein
OID20331,926,0.06284699630035848,0.030716821593804566,0.04104404690580132,0.3343852776168678,77.66856404895611,P23284,PPIB,Cardiometabolic,Unique Protein
OID20332,926,0.011749463173045637,0.03472891254605353,0.735201098760123,0.9010452040569558,61.94441550277775,P39060,COL18A1,Cardiometabolic,Unique Protein
OID20333,926,-0.012116755900039924,0.030843203586350565,0.6945228084874058,0.8847365699977543,50.4813852450681,P04746,AMY2A,Cardiometabolic,Unique Protein
OID20334,926,-0.005520615212157431,0.03146654181174509,0.8607700774128454,0.9576952862692861,63.510977077472255,O15467,CCL16,Cardiometabolic,Unique Protein
OID20335,926,0.03445020809320524,0.03122892792480851,0.2702553790187611,0.5877652327915468,55.27227903602584,P02452,COL1A1,Cardiometabolic,Unique Protein
OID20336,926,0.05934017201867432,0.030084719314223015,0.04886430451344584,0.3343852776168678,45.95241713054071,Q13867,BLMH,Cardiometabolic,Unique Protein
OID20337,926,0.0358942312746961,0.030895023820082846,0.24561820195274467,0.565754140510538,49.99776223142749,P42785,PRCP,Cardiometabolic,Unique Protein
OID20338,897,0.02572738559351851,0.032486998763723775,0.4286169049879922,0.7277330889895836,13.30738900879499,O75594,PGLYRP1,Cardiometabolic,Unique Protein
